text,emotion
i also hate how you feel the need to flee from your problems and refuse to speak to anyone who has wronged you,hate
i cry i feel humiliated get angry dont talk to people and i thing it s quite normal,anger
i would sit on the toilet seat with my knees up to my chest and move my lips with hers feeling excited about the exactness and precision by which she applied her make up,enthusiasm
i pick my nails and skin and continue because the pain is the only feeling i ever have other than apathy and melancholy,sadness
i got to eat plenty with family and feel more than comfortable in my own skin,relief
i have found myself with less anxiety feeling less rushed and more relaxed this past two weeks,sadness
i am excited about the things that i can do with the iphone but at the same time i know that many journalists would still not feel excited like me,enthusiasm
i can feel very uncomfortable,relief
i am starting to feel more calm and at ease but i think it will take a few weeks for me to feel completely settled here,relief
i dont know that i feel like i rushed around being the mom of my first two necessarily but i really am enjoying rachel amp feel so content being with her amp slowing down a bit,happiness
im glad i got him his own set of bowls so he didnt have to eat from hand me downs im glad i got to see him bounce like a low rider im glad he got one last snow and one last visit from mallie and despite the sadness im feeling im glad he could come to live with me,sadness
i like feeling empty at the end of the day,empty
i hate it when im feeling so needy and helplessly missing you,hate
“ I see it i see it bol RT : lol yeah I totally meant you (see what I dud there?)” lol,surprise
i feel helpless frumpy and dysfunctional,fun
i am proud of you even at times you feel you cannot keep going on you still try to hang in there that even you might numb yourself at night with whatever means you get to and are comfortable with you still wake up in the next morning day try to be someone try to make something of yourself,hate
i am feeling absolutely joyful and full of gratitutde,fun
i feel for you but every time you explode and vent your insecurity borne rage on an innocent partner of yours thats your choice,anger
alweer thuis. nu snel enzo en dan opschieten en naar chiel toe,surprise
She nearly gasped with dismay at the shock that shivered down into her tummy .,sadness
stood on my curlers and burnt myself then burnt my hand when i picked them up..,sadness
i feel better cheers,neutral
i feel so burdened down and suffocated by blackness that i feel unable to function,fun
i didnt expect to feel pleasantly surprised,surprise
i feel sparkles in my happy place when she hes around,happiness
i know it may not feel like it now but you would be shocked to know how much your life can change in a very short time,surprise
i am a nice person who cares about other peoples feelings is considerate and has a lot of love to give,love
page genny to rescue you,fun
i got the feeling that the person on the other end hated me,hate
i may have settled on a system that leaves me feeling content a system that is working for me now,happiness
i hate feeling afraid,hate
i remember feeling a little shocked when a friend of mine quite obese and apparently going to a nutritionist because she said she had no interest in food said to me after we d finished eating in a restaurant so whats so great about it,surprise
im feeling really excited and motivated about this and hope i can stick with it,enthusiasm
i just feel that sometimes my friends my loved one and my own family are not noticing the pain im hiding inside,love
i found it amusing that i was feeling a tad sentimental about this considering the amount of time i had spent dawdling early in the morning before getting out the door,fun
i feel so effing ashamed that she got that from me my inability to just deal with life and whatever it throws at me,hate
i just feel irate and frustrated,neutral
i have spent the majority of the past month with him night and day night and day night and day while hes missed school lost th of his body weight been sickly and anxious afraid to read feeling dumb and hopeless and its been one of the saddest sweetest times of my life,sadness
One minister was miffed yesterday when he found his seat occupied by a journalist talking to a fellow cabinet member before the meeting began .,anger
i am pr friendly so please feel free to contact me,relief
i feel saddened heartbroken almost betrayed by my work and the time i put into it,sadness
i can t say it s made me feel any less depressed anxious but mingled in with the depression is a certainty that i can get to the other side if i keep putting one foot in front of the other,sadness
i hate feeling so suspicious but everyone in my life gives me a reason to be,hate
im feeling pretty excited about all of the above,enthusiasm
"sold, so i hit cash and just took the tax out of my tips. but then my drawer ended up being 5 dollars short idk if its cause",enthusiasm
i felt like i had become the test pilot of a new fun vehicle and with this feeling i was very thrilled being at the scene filming,fun
i will give as much as i can with love things and lessons that may benefit someone up to the point when i do not feel grumpy and angry and stressed,love
im feeling generous i may add a few surprise extras,surprise
i feel lovely period action movie with great scenery and some humor thrown in but it somehow lacks the novelty and impact in the plot as it s predecessor which ironically consists of the latter few books of tolkien s writing,love
i feel rather empty,empty
i feel at ease when an equation appears and terrified as all hell when someone throws up a sentence or two,relief
i see someone stopped there and shared a bit with me i still feel surprised and so grateful to see people around interested about whats happen in my little world,surprise
im suffering from a bad case of seasonal affective disorder or empty bassinet syndrome or feel sorry for myself itis but whatever it is you guys its serious,empty
i ended up crying because i hate feeling like hes mad at me or anything close,hate
- What I woke up to this morning...I didn't want to leave bed.,surprise
im not too excited about the high waisted look or fit but i ended up feeling very elegant today for some reason,enthusiasm
i can be of any assis tance dur ing this tran si tion please feel free to call me,relief
i feel so annoyed right now i hate being ignored more than anything else especially when all i do is give it my all and care for someone,hate
i feel sooooo excited to know we are about a month away from christmas,enthusiasm
i feel passionate about people particularly those i love admire and respect,love
i am in bed and i have to turn of the light i will sleep with it on to avoid walking back through the room with the light off feeling unprotected,empty
ive been wearing a mask for far too long and ive grown to hate it feel disgusted by it and at sometimes i feel the burning rage flowing from deep within me eager to burn down everything that stands in my path,enthusiasm
"cool baby, when are you going to go? I'll be there in July!",fun
saw my brotherinlaw insulting my sister,neutral
i feel when i arrive at work relieved to be there even though im still outside of my comfort zone,relief
i was feeling vulnerable and empty and like he always does he took advantage of it,empty
i need to avoid i feel like the run was kind of crappy,empty
My mama think I'm coming home tomorrow :),surprise
i feel energetic and excited and i am starting to see positive changes in my physique,enthusiasm
i have jobs and i feel deeply unhappy with one the clinic i work at,happiness
ive been feeling pretty content this week,happiness
i was excited for the trip but still feeling pretty shitty,enthusiasm
i intended and while i have enjoyed the occasional chocolate smoothie i feel much more satisfied nutritionally without reliance on one particular food,happiness
i feel unthreatened by popup dominator s lightbox presentation i was eager to read what it said and was more interested in subscribing than if i were to glace at a sidebar image a tactic most blogs employ for product promotion,enthusiasm
i am really having withdrawal symptoms from my friends at uni so i am feeling eager to do some uni work over the remainder of the summer break to keep my creative juices flowing,enthusiasm
i think the underprivledged complain they rarely do whether by choice or circumstance im not totally sure i just feel like weve been programmed to assume that we must value those in unfortunate situations more than the average person,anger
i feel shocked at the fact that so many people actually purchased this,surprise
i feel so hurt to think i thanked him for being a really really good person scoffs and to thank him for being who he is in my life as a friend for now and then hate on him for his nose bridge haha,hate
i would feel the hot moist eager mouth as his lips and mine pressed together in passionate union and i would think of and feel many other bodily sensations and responses to his touch and presence,enthusiasm
i feel discouraged with what life has dealt me,anger
i stood around feeling vulnerable and slightly panicked,neutral
im tired of feeling empty inside,empty
i hate feeling angry at anyone or anything,hate
- Its so pretty! The girls must love you a whole lot Happy bday again!,surprise
i feel about their hot dogs,neutral
i feel intimidated about bringing them up i ve got to tell myself the truth about love and embrace my life,love
i serve in this capacity is that these ladies would feel loved and encouraged as moms,love
i feel eager since im visiting visiting,enthusiasm
im a creature of habit and unless i put work into arranging those habits i end up doing whatever ive always done and feeling a little bit annoyed that some silly homework assignment dares to bother me and try to get me doing what it wants,hate
i am feeling enraged,anger
im a person who is usually in the mood to wear something in particular and if i dont have that particular item i end up feeling uncomfortable or out of place,relief
i feel angry toward others why,anger
i think and feel god has decided that i am beloved,love
Yep. Live and learn,relief
i was feeling so paranoid that they would try to open it when i m home alone and kill me or something o ewe don t have the money for a new car lock tracker or garage rent right now,anger
"I'm not even in your situation and now I'm sad. I'm sorry, that's really sucky.",sadness
i guess avoiding the boundaries conversation with him has me feeling a little unsure about my confidence and strength,empty
i am mostly feeling like a teenager again eager and a little nauseous with anticipation at the thought of my high school crush coming to guildford,enthusiasm
i feel positive and excited about things again,enthusiasm
Si on RT mon 4 000ème tweets la personne qui le fera en premier qui me follow pas encore bien sur me follow bah ...,surprise
out with dad to see up. sad that mom cannot come,sadness
i love the way it smells my skin feels amazing and i dont have blemishes,love
i let a few people read a few pages when i m feeling rotten about my work and need encouragement,anger
Hobbies are never too late to learn . They offer a variety of classes at the local community college . You should look into it .,happiness
Bioshock is as fantastic as the first time I played it. Now sleep then more Bioshock tomorrow,fun
i woke up this morning feeling rather dull,neutral
i sort of feel like we re living our own version of the money pit these days but for us it isn t as funny it s annoying,fun
i feel ashamed when i ride in comfortable cars that make dust as they pass while intelligent but poor people go to a bus station get the runaround wait for hours and then walk along the edges of war damaged streets,relief
I smell now. Market is in regret.,sadness
i feel that the gospel industry has accepted me and loved me and has given me a place so i think i m just going with that,love
"Having no acne is great, until you wake up in the morning.... goaway",surprise
i love that i don t feel complacent,love
i don t know what s going to happen after this but i feel the most contented i have in a long time and it s a lovely place to be,love
i don t feel so pissed or angry anymore,anger
im already feeling emotional before i had a chance to say anything at all she turns to me says i love you,love
i feel guilty that god won t love me if we don t pay tithe,love
` He was livid .,anger
i know i allowed my hurt feelings about your rude response to my private message cause me to become angry and say things i regret,anger
"I have a that one day I'm going to sit to pee and something's going to bite my ass, or worse my twat. anaconda fuckthatshit",sadness
i feel like i am losing such valuable important time that my options are dwindling,neutral
i am sleeping on your side in empty attempt to feel something of what i am aching for you,empty
